Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Softmax,Asr,NPU,112,0.14919011082693948,2,0.002243233845912267,2,0,2,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr
Softmax,ReduceSum,NPU,176,0.23444160272804773,167,0.1873100261336743,167,0,0,0,0,10,7.996322970845086e-05,0.023390718562874252,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum
Softmax,CLZ,NPU,192,0.2557544757033248,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/CLZ
Softmax,Sub,NPU,256,0.3410059676044331,4,0.004486467691824534,4,0,0,0,0,0,0.0,0.0,headroom_offset/Sub
Softmax,Sub,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/CLZ/Sub
Softmax,SHL,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL
Softmax,Mul,NPU,256,0.3410059676044331,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul
Softmax,Add,NPU,256,0.3410059676044331,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Sub,NPU,320,0.42625745950554134,4,0.004486467691824534,4,0,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul/Mul
Softmax,Add,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Sub,NPU,320,0.42625745950554134,4,0.004486467691824534,4,0,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul/Mul
Softmax,Add,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Sub,NPU,320,0.42625745950554134,4,0.004486467691824534,4,0,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Mul,NPU,320,0.42625745950554134,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul/Mul
Softmax,Add,NPU,256,0.3410059676044331,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Add
Softmax,Mul,NPU,208,0.2770673486786019,4,0.004486467691824534,4,1,0,0,0,0,0.0,0.0,model/dense/MatMul;model/dense/BiasAdd/Sub/lut/Mul
Softmax,Asr,NPU,208,0.2770673486786019,2,0.002243233845912267,2,2,0,0,0,0,0.0,0.0,Identity_int8
