Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
DepthwiseConv2D,Relu,NPU,16000,77.10100231303007,7324,12.063512979312163,1338,390,7324,0,0,8000,0.3193877974698099,0.4266794101583834,functional_1/activation_7/Relu;functional_1/batch_normalization_7/FusedBatchNormV3;functional_1/depthwise_conv2d_3/depthwise;functional_1/depthwise_conv2d_3/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_3/BiasAdd/ReadVariableOp/resource1
Conv2D,Conv2D,NPU,20720,99.84579799537394,6249,10.292858084069048,4134,1784,6249,0,0,512000,20.440819038067833,32.00512081933109,functional_1/activation_8/Relu;functional_1/batch_normalization_8/FusedBatchNormV3;functional_1/conv2d_4/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_4/BiasAdd;functional_1/conv2d_4/Conv2D1
Conv2D,Relu,NPU,20720,99.84579799537394,6626,10.913822638028726,6626,390,2441,0,0,8000,0.3193877974698099,0.4716269242378509,functional_1/activation_8/Relu;functional_1/batch_normalization_8/FusedBatchNormV3;functional_1/conv2d_4/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_4/BiasAdd;functional_1/conv2d_4/Conv2D1
AvgPool,AvgPool,NPU,8064,38.858905165767155,2541,4.185334036104889,2541,500,0,0,0,8000,0.3193877974698099,1.2298307752853208,functional_1/average_pooling2d/AvgPool
FullyConnected,FullyConnected,NPU,80,0.3855050115651503,390,0.6423771247858743,325,3,390,0,0,768,0.03066122855710175,0.7692307692307693,functional_1/dense/BiasAdd
Softmax,MaxPool,NPU,32,0.15420200462606015,81,0.13341678745552774,81,3,0,0,0,12,0.0004790816962047148,0.05787037037037037,functional_1/dense/BiasAdd/maxpool
Softmax,Sub,NPU,96,0.4626060138781804,4,0.006588483331137172,4,2,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut
Softmax,LUT,NPU,96,0.4626060138781804,1296,2.1346685992884438,1296,0,4,0,0,12,0.0004790816962047148,0.003616898148148148,functional_1/dense/BiasAdd/Sub/lut
Softmax,Asr,NPU,112,0.5397070161912105,12,0.019765449993411517,3,0,12,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr
Softmax,ReduceSum,NPU,176,0.8481110254433307,178,0.2931875082356042,178,0,0,0,0,12,0.0004790816962047148,0.026334269662921347,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum
Softmax,CLZ,NPU,192,0.9252120277563608,4,0.006588483331137172,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/CLZ
Softmax,Sub,NPU,256,1.2336160370084812,5,0.008235604163921465,5,0,0,0,0,0,0.0,0.0,headroom_offset/Sub
Softmax,Sub,NPU,320,1.5420200462606013,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/CLZ/Sub
Softmax,SHL,NPU,320,1.5420200462606013,5,0.008235604163921465,5,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL
Softmax,Mul,NPU,256,1.2336160370084812,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul
Softmax,Add,NPU,256,1.2336160370084812,6,0.009882724996705759,5,0,6,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add
Softmax,Mul,NPU,320,1.5420200462606013,4,0.006588483331137172,4,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Sub,NPU,320,1.5420200462606013,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,1.5420200462606013,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Mul,NPU,320,1.5420200462606013,6,0.009882724996705759,5,0,6,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul/Mul
Softmax,Add,NPU,320,1.5420200462606013,4,0.006588483331137172,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add
Softmax,Mul,NPU,320,1.5420200462606013,4,0.006588483331137172,4,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Sub,NPU,320,1.5420200462606013,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,1.5420200462606013,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Mul,NPU,320,1.5420200462606013,6,0.009882724996705759,5,0,6,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul/Mul
Softmax,Add,NPU,320,1.5420200462606013,4,0.006588483331137172,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add
Softmax,Mul,NPU,320,1.5420200462606013,4,0.006588483331137172,4,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Sub,NPU,320,1.5420200462606013,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,1.5420200462606013,6,0.009882724996705759,6,0,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Mul,NPU,320,1.5420200462606013,6,0.009882724996705759,5,0,6,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul/Mul
Softmax,Add,NPU,256,1.2336160370084812,4,0.006588483331137172,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Add
Softmax,Mul,NPU,192,0.9252120277563608,4,0.006588483331137172,4,1,1,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Mul
Softmax,Asr,NPU,192,0.9252120277563608,9,0.014824087495058638,5,0,9,0,0,0,0.0,0.0,Identity
