INFO - Profile for Inference:
INFO - NPU ACTIVE: 4721830 cycles
INFO - NPU MAC_ACTIVE: 2186628 cycles
INFO - NPU EXT_RD_TRANS_COMPLETED: 17591 cycles
INFO - NPU EXT_WR_TRANS_COMPLETED_M: 0 cycles
INFO - NPU SRAM_RD_TRANS_COMPLETED: 127564 cycles
INFO - NPU SRAM_WR_TRANS_COMPLETED_M: 56200 cycles
INFO - NPU EXT_RD_STALL_LIMIT: 0 cycles
INFO - NPU AXI_LATENCY_ANY: 0 cycles
INFO - NPU IDLE: 198905 cycles
INFO - NPU TOTAL: 4920735 cycles
