Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
DepthwiseConv2D,Relu,NPU,16000,16.931933626820182,6500,16.488255288924965,6500,500,0,0,0,8000,0.3193877974698099,0.4807692307692308,functional_1/activation_7/Relu;functional_1/batch_normalization_7/FusedBatchNormV3;functional_1/depthwise_conv2d_3/depthwise;functional_1/depthwise_conv2d_3/BiasAdd;functional_1/conv2d_4/Conv2D;functional_1/depthwise_conv2d_3/BiasAdd/ReadVariableOp/resource1
Conv2D,Conv2D,NPU,16000,16.931933626820182,2512,6.37207650550454,2512,1870,0,0,0,512000,20.440819038067833,79.61783439490446,functional_1/activation_8/Relu;functional_1/batch_normalization_8/FusedBatchNormV3;functional_1/conv2d_4/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_4/BiasAdd;functional_1/conv2d_4/Conv2D1
Conv2D,Relu,NPU,16000,16.931933626820182,4512,11.44538582517376,4512,762,0,0,0,8000,0.3193877974698099,0.6925975177304965,functional_1/activation_8/Relu;functional_1/batch_normalization_8/FusedBatchNormV3;functional_1/conv2d_4/BiasAdd/ReadVariableOp/resource;functional_1/conv2d_4/BiasAdd;functional_1/conv2d_4/Conv2D1
AvgPool,AvgPool,NPU,8064,8.533694547917372,2529,6.415199634721729,2529,324,0,0,0,8000,0.3193877974698099,1.2356662712534598,functional_1/average_pooling2d/AvgPool
FullyConnected,FullyConnected,NPU,80,0.08465966813410092,86,0.21815230074577646,86,41,0,0,0,768,0.03066122855710175,3.488372093023256,functional_1/dense/BiasAdd
Softmax,MaxPool,NPU,32,0.033863867253640365,69,0.1750291715285881,69,3,0,0,0,12,0.0004790816962047148,0.06793478260869565,functional_1/dense/BiasAdd/maxpool
Softmax,Sub,NPU,96,0.1015916017609211,4,0.010146618639338441,4,2,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut
Softmax,LUT,NPU,96,0.1015916017609211,1048,2.6584140835066714,1048,1,0,0,0,12,0.0004790816962047148,0.00447280534351145,functional_1/dense/BiasAdd/Sub/lut
Softmax,Asr,NPU,112,0.11852353538774128,3,0.0076099639795038304,3,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr
Softmax,ReduceSum,NPU,176,0.186251269895022,167,0.4236213281923799,167,0,0,0,0,12,0.0004790816962047148,0.0280688622754491,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum
Softmax,CLZ,NPU,192,0.2031832035218422,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/CLZ
Softmax,Sub,NPU,256,0.2709109380291229,4,0.010146618639338441,4,0,0,0,0,0,0.0,0.0,headroom_offset/Sub
Softmax,Sub,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/CLZ/Sub
Softmax,SHL,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL
Softmax,Mul,NPU,256,0.2709109380291229,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul
Softmax,Add,NPU,256,0.2709109380291229,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Sub,NPU,320,0.3386386725364037,4,0.010146618639338441,4,0,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Mul/Mul
Softmax,Add,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Sub,NPU,320,0.3386386725364037,4,0.010146618639338441,4,0,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Mul/Mul
Softmax,Add,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Sub,NPU,320,0.3386386725364037,4,0.010146618639338441,4,0,0,0,0,0,0.0,0.0,F2_one/Sub
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul
Softmax,Mul,NPU,320,0.3386386725364037,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Mul/Mul
Softmax,Add,NPU,256,0.2709109380291229,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Asr/reducesum/SHL/Mul/Add/Add/Add/Add
Softmax,Mul,NPU,208,0.22011513714866238,4,0.010146618639338441,4,1,0,0,0,0,0.0,0.0,functional_1/dense/BiasAdd/Sub/lut/Mul
Softmax,Asr,NPU,208,0.22011513714866238,3,0.0076099639795038304,3,2,0,0,0,0,0.0,0.0,Identity
